EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
1000.0,-44.481012827390174,2,81,236.48154091835022,81000,-0.24657881259918213,5.623891,0.0070777046,0.0,-0.013932744,0.070475124
1000.0,-44.174215897567066,2,83,242.37190079689026,83000,0.027767300605773926,5.5946355,0.009481468,0.0,-0.014938084,0.032713674
1000.0,-44.27309896274976,3,86,248.44094109535217,86000,-0.09960460662841797,5.612886,0.007986999,0.0,-0.010731536,0.0622527
1000.0,-44.2014927957328,2,88,254.33911204338074,88000,0.8709894269704819,5.5759335,0.00878387,0.0,-0.016527241,0.04293217
1000.0,-43.790571909352785,2,90,260.2084364891052,90000,0.6076619625091553,5.55747,0.0077373446,0.0,-0.014177518,0.03419477
1000.0,-43.51217169942788,2,92,266.09208154678345,92000,0.7263994812965393,5.5198073,0.007905723,0.0,-0.014650578,0.047451656
1000.0,-43.544970717577804,2,94,271.99156522750854,94000,0.004432022571563721,5.4961686,0.008727185,0.0,-0.0133754015,0.03966817
1000.0,-43.52009194836855,2,96,277.8771176338196,96000,0.15521657466888428,5.4640355,0.007531249,0.0,-0.01304378,0.060563937
1000.0,-43.3321004215171,2,98,283.7402150630951,98000,0.541897177696228,5.458406,0.007784903,0.0,-0.015414071,0.049931556
1000.0,-43.309791913042034,2,100,289.5968942642212,100000,0.3423064351081848,5.4400787,0.0070379004,0.0,-0.012995368,0.04555079
1000.0,-43.63977980429041,2,102,295.5341236591339,102000,0.6436543166637421,5.4648757,0.00463076,0.0,-0.009982466,0.08692199
1000.0,-43.399275629966084,2,104,301.48577857017517,104000,-1.2073137760162354,5.4771175,0.005097072,0.0,-0.009921391,0.04025921
1000.0,-42.818769511037225,2,106,307.3653018474579,106000,-0.5037448406219482,5.444691,0.008403361,0.0,-0.016933545,0.035909012
1000.0,-42.93481498492451,2,108,313.2834722995758,108000,0.4042196273803711,5.4074807,0.006966979,0.0,-0.013091428,0.04835531
1000.0,-42.72339419764824,2,110,319.07816672325134,110000,0.6152146756649017,5.369538,0.010649015,0.0,-0.014315864,0.06420942
1000.0,-42.94306110097922,2,112,324.9121341705322,112000,0.8113728910684586,5.3391824,0.009370774,0.0,-0.012930928,0.06899832
1000.0,-42.95031978270136,2,114,330.71017956733704,114000,0.7234324812889099,5.361464,0.006359296,0.0,-0.012831585,0.09278768
1000.0,-42.48032983100671,2,116,336.6270875930786,116000,0.717581033706665,5.3652196,0.0094847465,0.0,-0.014870466,0.022188833
1000.0,-42.581034408016684,2,118,342.538467168808,118000,0.2712825536727905,5.3714185,0.00771083,0.0,-0.012041731,0.026019147
1000.0,-42.65097399637678,2,120,348.44990062713623,120000,0.7577210813760757,5.330948,0.013270589,0.0,-0.014118096,0.045034617
1000.0,-42.92173605536679,2,122,354.3085968494415,122000,0.6017472147941589,5.2982497,0.008280537,0.0,-0.011568823,0.07329808
1000.0,-42.85425572426307,2,124,360.173006772995,124000,0.818428099155426,5.3008866,0.011408658,0.0,-0.018941531,0.04146434
1000.0,-42.55596637556384,2,126,366.1279456615448,126000,0.7658378928899765,5.282725,0.0102201775,0.0,-0.017060185,0.025429184
1000.0,-42.439432234501545,3,129,372.15062284469604,129000,-1.0084171295166016,5.3178105,0.009911989,0.0,-0.010714736,0.048156373
